@relation voiceCepstrums

@attribute coefficient1 Continuous
@attribute coefficient2 Continuous
@attribute coefficient3 Continuous
@attribute coefficient4 Continuous
@attribute coefficient5 Continuous
@attribute gender {male, female}

@data
30318, 30414, 30509, 30415, 30317, male
28785, 28786, 28888, 28683, 32322, male
26965, 27058, 26874, 26873, 27059, male
30520, 30519, 30559, 30560, 30558, male
26438, 26437, 26210, 26209, 26211, male
26871, 27080, 27079, 26872, 27288, male
25484, 25347, 25346, 25485, 25486, female
25597, 25667, 25666, 25530, 25599, female
2921, 2920, 2922, 2645, 2782, female
14475, 14564, 14476, 14563, 14562, female
19600, 19601, 19488, 19599, 19602, female
21042, 21043, 21041, 21039, 20943, female
23834, 23915, 23795, 23792, 23832, female
19563, 19564, 19562, 19459, 19355, female
31425, 31424, 21819, 31625, 21630, female
16218, 16219, 16220, 16217, 16216, female
43866, 27470, 27471, 27898, 43867, female
22015, 21919, 21918, 22014, 21917, female
30733, 24791, 30734, 29557, 29558, female
