@relation voiceCepstrums

@attribute range1 Continuous
@attribute range2 Continuous
@attribute range3 Continuous
@attribute range4 Continuous
@attribute range5 Continuous
@attribute range6 Continuous
@attribute range7 Continuous
@attribute range8 Continuous
@attribute range9 Continuous
@attribute range10 Continuous
@attribute gender {male, female}

@data
-120708.0, 143635.0, 152406.0, 55576.0, -102343.0, 347389.0, 366257.0, -236322.0, 240635.0, -160273.0, male
-20875.0, 166213.0, 138299.0, 74864.0, 188495.0, 21324.0, 215865.0, 31975.0, 92979.0, 79696.0, male
143089.0, 91223.0, 83406.0, 170753.0, -41562.0, 304500.0, 155425.0, 50849.0, -2728.0, -22169.0, male
48496.0, -168059.0, -17315.0, 398343.0, -231347.0, 308983.0, 55346.0, 171839.0, -217703.0, 69318.0, male
512809.0, -303720.0, 197019.0, -83568.0, 299389.0, 203000.0, -362764.0, 432421.0, -211166.0, -101993.0, male
320526.0, 143943.0, -9179.0, 315309.0, -207087.0, 142305.0, 185175.0, -92282.0, 79229.0, -15455.0, male
334395.0, 72041.0, -72643.0, -26165.0, 246178.0, -91747.0, 287531.0, 74813.0, 47538.0, 151594.0, female
210550.0, -82688.0, 291556.0, 122455.0, 31215.0, 12337.0, 123923.0, 186865.0, 35664.0, 72756.0, female
771385.0, -543616.0, -348235.0, 189971.0, 29052.0, 24179.0, -24608.0, -7985.0, -76329.0, 28216.0, female
24957.0, -52407.0, 63830.0, -127271.0, 164289.0, -73894.0, -12396.0, -48333.0, 115409.0, -62218.0, female
-266442.0, 97657.0, 39363.0, 236716.0, -92145.0, 162155.0, 90466.0, 124391.0, 18004.0, 142596.0, female
225685.0, 166338.0, -72242.0, -48191.0, 105537.0, 240087.0, 109409.0, 35220.0, 67536.0, 39155.0, female
382465.0, -103742.0, 212450.0, 12497.0, 127367.0, -1618.0, 80839.0, -358.0, 46474.0, 263040.0, female
458083.0, -30652.0, 74122.0, -36091.0, 55767.0, 261737.0, 4520.0, 57195.0, 182961.0, 166443.0, female
160013.0, 196946.0, -22172.0, 525602.0, -564176.0, 520724.0, -389649.0, 422589.0, -11364.0, 172293.0, female
43561.0, 186759.0, -94982.0, 380427.0, -736295.0, 481245.0, 67680.0, -216854.0, 325013.0, 337604.0, female
-341462.0, -125288.0, 337884.0, 387419.0, -85457.0, 175544.0, 84191.0, -15527.0, 1678.0, -802006.0, female
788680.0, 323968.0, -217643.0, 54322.0, 431540.0, -12897.0, -76590.0, 254030.0, 200332.0, 135152.0, female
398325.0, 369230.0, -323175.0, 422469.0, 179165.0, 34180.0, 169217.0, 97492.0, -76442.0, -85241.0, female
